,text,is_humor
56,A Great Dowry Is A Bed Full Of Brambles,0
57,A Great Fortune Is A Great Slavery,0
58,A Great Ship Asks Deep Waters,0
59,A Guilty Conscience Needs No Accuser,0
60,A Hard Nut To Crack,0
61,A Heavy Purse Makes A Light Heart,0
62,A Hedge Between Keeps Friendship Green,0
63,"A Honey Tongue, A Heart Of Gall",0
64,A Hungry Belly Has No Ears,0
65,A Hungry Man Is An Angry Man,0
66,A Jack Of All Trades Is Master Of None,0
67,A Joke Never Gains An Enemy But Often Loses A Friend,0
68,A Lawyer Never Goes To Law Himself,0
69,A Lazy Sheep Thinks Its Wool Heavy,0
70,A Liar Is Not Believed When He Speaks The Truth,0
71,A Lie Begets A Lie,0
72,A Light Purse Is A Heavy Curse,0
73,A Little Body Often Harbours A Great Soul,0
74,A Little Fire Is Quickly Trodden Out,0
75,A Man Can Die But Once,0
76,A Man Can Do No More Than He Can,0
77,A Man Is Known By The Company He Keeps,0
78,A Man Of Words And Not Of Deeds Is Like A Garden Full Of Weeds,0
79,A Miserly Father Makes A Prodigal Son,0
80,A Miss Is As Good As A Mile,0
81,A New Broom Sweeps Clean,0
82,A Nod From A Lord Is A Breakfast For A Fool,0
83,A Penny Saved Is A Penny Gained,0
84,A Penny Soul Never Came To Twopence,0
85,A Quiet Conscience Sleeps In Thunder,0
86,A Rolling Stone Gathers No Moss,0
87,A Round Peg In A Square Hole,0
88,A Shy Cat Makes A Proud Mouse,0
89,A Silent Fool Is Counted Wise,0
90,A Small Leak Will Sink A Great Ship,0
91,A Soft Answer Turns Away Wrath,0
92,A Sound Mind In A Sound Body,0
93,A Stitch In Time Saves Nine,0
94,A Storm In A Teacup,0
95,A Tattler Is Worse Than A Thief,0
96,A Thief Knows A Thief As A Wolf Knows A Wolf,0
97,A Thief Passes For A Gentleman When Stealing Has Made Him Rich,0
98,A Threatened Blow Is Seldom Given,0
99,A Tree Is Known By Its Fruit,0
100,A Wager Is A Fool's Argument,0
101,A Watched Pot Never Boils,0
102,"A Wise Man Changes His Mind, A Fool Never Will",0
103,A Wolf In Sheep's Clothing,0
104,A Wonder Lasts But Nine Days,0
105,A Word Is Enough To The Wise,0
106,A Word Spoken Is Past Recalling,0
107,Actions Speak Louder Than Words,0
108,Adversity Is A Great Schoolmaster,0
109,Adversity Makes Strange Bedfellows,0
110,After A Storm Comes A Calm,0
111,After Dinner Comes The Reckoning,0
112,"After Dinner Sit (Sleep) A While, After Supper Walk A Mile",0
113,After Rain Comes Fair Weather,0
114,After Us The Deluge,0
115,"Agues Come On Horseback, But Go Away On Foot",0
116,"All Are Good Lasses, But Whence Come The Bad Wives? ",0
117,All Are Not Friends That Speak Us Fair,0
118,All Are Not Hunters That Blow The Horn,0
119,All Are Not Merry That Dance Lightly,0
120,All Are Not Saints That Go To Church,0
121,All Asses Wag Their Ears,0
122,All Bread Is Not Baked In One Oven,0
123,All Cats Are Grey In The Dark (In The Night),0
124,"All Covet, All Lose",0
125,All Doors Open To Courtesy,0
126,All Is Fish That Comes To His Net,0
127,All Is Not Lost That Is In Peril,0
128,All Is Well That Ends Well,0
129,All Lay Load On The Willing Horse,0
130,All Men Can't Be First,0
131,All Men Can't Be Masters,0
132,All Promises Are Either Broken Or Kept,0
133,All Roads Lead To Rome ,0
134,All Sugar And Honey,0
135,All That Glitters Is Not Gold,0
136,All Things Are Difficult Before They Are Easy,0
137,All Truths Are Not To Be Told,0
138,All Work And No Play Makes Jack A Dull Boy,0
139,"""Almost"" Never Killed A Fly (Was Never Hanged)",0
140,Among The Blind The One-Eyed Man Is King,0
141,An Apple A Day Keeps The Doctor Away,0
142,An Ass In A Lion's Skin,0
143,"An Ass Is But An Ass, Though Laden With Gold",0
144,An Ass Loaded With Gold Climbs To The Top Of The Castle,0
145,An Empty Hand Is No Lure For A Hawk,0
146,An Empty Sack Cannot Stand Upright,0
147,An Empty Vessel Gives A Greater Sound Than A Full Barrel,0
148,An Evil Chance Seldom Comes Alone,0
149,"An Honest Tale Speeds Best, Being Plainly Told",0
150,An Hour In The Morning Is Worth Two In The Evening,0
151,An Idle Brain Is The Devil's Workshop,0
152,"An Ill Wound Is Cured, Not An Ill Name",0
153,An Oak Is Not Felled At One Stroke,0
154,An Old Dog Barks Not In Vain,0
155,An Open Door May Tempt A Saint,0
156,An Ounce Of Discretion Is Worth A Pound Of Learning,0
157,"An Ox Is Taken By The Horns, And A Man By The Tongue",0
158,An Unfortunate Man Would Be Drowned In A Teacup,0
159,Anger And Haste Hinder Good Counsel,0
160,Any Port In A Storm,0
161,Appearances Are Deceitful,0
162,Appetite Comes With Eating,0
163,As Drunk As A Lord,0
164,As Innocent As A Babe Unborn,0
165,As Like As An Apple To An Oyster,0
166,As Like As Two Peas,0
167,As Old As The Hills,0
168,As Plain As The Nose On A Man's Face,0
169,As Plain As Two And Two Make Four,0
170,As Snug As A Bug In A Rug ,0
171,As Sure As Eggs Is Eggs,0
172,"As The Call, So The Echo",0
173,"As The Fool Thinks, So The Bell Clinks",0
174,"As The Old Cock Crows, So Does The Young",0
175,"As The Tree Falls, So Shall It Lie",0
176,"As The Tree, So The Fruit",0
177,As Welcome As Flowers In May,0
178,As Welcome As Water In One's Shoes,0
179,As Well Be Hanged For A Sheep As For A Lamb,0
180,"As You Brew, So Must You Drink",0
181,"As You Make Your Bed, So Must You Lie On It",0
182,"As You Sow, So Shall You Reap",0
183,Ask No Questions And You Will Be Told No Lies,0
184,At The Ends Of The Earth,0
185,Bacchus Has Drowned More Men Than Neptune ,0
186,Bad News Has Wings,0
187,Barking Does Seldom Bite,0
188,Be Slow To Promise And Quick To Perform,0
189,"Be Swift To Hear, Slow To Speak",0
190,Beauty Is But Skin-Deep,0
191,Beauty Lies In Lover's Eyes,0
192,Before One Can Say Jack Robinson,0
193,Before You Make A Friend Eat A Bushel Of Salt With Him,0
194,Beggars Cannot Be Choosers,0
195,Believe Not All That You See Nor Half What You Hear,0
196,Best Defence Is Offence,0
197,Better A Glorious Death Than A Shameful Life,0
198,Better A Lean Peace Than A Fat Victory,0
199,"Better A Little Fire To Warm Us, Than A Great One To Burn Us",0
200,Better An Egg Today Than A Hen Tomorrow,0
201,Better An Open Enemy Than A False Friend,0
202,Better Be Alone Than In Bad Company,0
203,Better Be Born Lucky Than Rich,0
204,Better Be Envied Than Pitied,0
205,Better Be The Head Of A Dog Than The Tail Of A Lion,0
206,Better Deny At Once Than Promise Long,0
207,Better Die Standing Than Live Kneeling,0
208,Better Early Than Late,0
209,Better Give A Shilling Than Lend A Half-Crown,0
210,Better Go To Bed Supperless Than Rise In Debt,0
211,Better Late Than Never,0
212,Better Lose A Jest Than A Friend,0
213,Better One-Eyed Than Stone-Blind,0
214,Better The Devil You Know Than The Devil You Don't,0
215,Better The Foot Slip Than The Tongue,0
216,Better To Do Well Than To Say Well,0
217,"Better To Reign In Hell, Than Serve In Heaven",0
218,Better Unborn Than Untaught,0
219,Better Untaught Than Ill-Taught,0
220,Between The Cup And The Lip A Morsel May Slip,0
221,Between The Devil And The Deep (Blue) Sea,0
222,Between Two Evils 'Tis Not Worth Choosing,0
223,Between Two Stools One Goes (Falls) To The Ground,0
224,Between The Upper And Nether Millstone,0
225,Betwixt And Between,0
226,Beware Of A Silent Dog And Still Water,0
227,Bind The Sack Before It Be Full,0
228,Birds Of A Feather Flock Together,0
229,Blind Men Can Judge No Colours,0
230,Blood Is Thicker Than Water,0
231,Borrowed Garments Never Fit Well,0
232,Brevity Is The Soul Of Wit,0
233,Burn Not Your House To Rid It Of The Mouse,0
234,Business Before Pleasure,0
235,By Doing Nothing We Learn To Do Ill,0
236,By Hook Or By Crook,0
237,By The Street Of 'By-And-Bye' One Arrives At The House Of 'Never',0
238,Calamity Is Man's True Touchstone,0
239,Care Killed The Cat,0
240,Catch The Bear Before You Sell His Skin,0
241,Caution Is The Parent Of Safety,0
242,Charity Begins At Home,0
243,Cheapest Is The Dearest,0
244,Cheek Brings Success,0
245,Children And Fools Must Not Play With Edged Tools,0
246,Children Are Poor Men's Riches,0
247,Choose An Author As You Choose A Friend,0
248,"Christmas Comes But Once A Year, (But When It Comes It Brings Good Cheer)",0
249,Circumstances Alter Cases,0
250,"Claw Me, And I Will Claw Thee",0
251,Cleanliness Is Next To Godliness,0
252,Company In Distress Makes Trouble Less,0
253,Confession Is The First Step To Repentance,0
254,Counsel Is No Command,0
255,Creditors Have Better Memories Than Debtors,0
256,Cross The Stream Where It Is Shallowest,0
257,Crows Do Not Pick Crow's Eyes,0
258,Curiosity Killed A Cat,0
259,Curses Like Chickens Come Home To Roost,0
260,Custom Is A Second Nature,0
261,Custom Is The Plague Of Wise Men And The Idol Of Fools,0
262,Cut Your Coat According To Your Cloth,0
263,Death Is The Grand Leveller,0
264,Death Pays All Debts,0
265,Death When It Comes Will Have No Denial,0
266,Debt Is The Worst Poverty,0
267,"Deeds, Not Words",0
268,Delays Are Dangerous,0
269,Desperate Diseases Must Have Desperate Remedies,0
270,Diligence Is The Mother Of Success (Good Luck),0
271,Diseases Are The Interests Of Pleasures,0
272,Divide And Rule,0
273,Do As You Would Be Done By,0
274,Dog Does Not Eat Dog,0
275,Dog Eats Dog,0
276,Dogs That Put Up Many Hares Kill None,0
277,Doing Is Better Than Saying,0
278,Don't Count Your Chickens Before They Are Hatched,0
279,Don't Cross The Bridges Before You Come To Them,0
280,Don't Have Thy Cloak To Make When It Begins To Rain,0
281,Don't Keep A Dog And Bark Yourself,0
282,Don't Look A Gift Horse In The Mouth,0
283,Don't Put All Your Eggs In One Basket,0
284,Don't Sell The Bear's Skin Before You've Caught It,0
285,Don't Trouble Trouble Until Trouble Troubles You,0
286,Don't Whistle (Halloo) Until You Are Out Of The Wood,0
287,Dot Your I's And Cross Your T's,0
288,Draw Not Your Bow Till Your Arrow Is Fixed,0
289,Drive The Nail That Will Go,0
290,Drunken Days Have All Their Tomorrow,0
291,Drunkenness Reveals What Soberness Conceals,0
292,Dumb Dogs Are Dangerous,0
293,Each Bird Loves To Hear Himself Sing,0
294,"Early To Bed And Early To Rise Makes A Man Healthy, Wealthy And Wise",0
295,Easier Said Than Done,0
296,East Or West ? Home Is Best,0
297,"Easy Come, Easy Go",0
298,"Eat At Pleasure, Drink With Measure",0
299,Empty Vessels Make The Greatest (The Most) Sound,0
300,Enough Is As Good As A Feast,0
301,Envy Shoots At Others And Wounds Herself,0
302,Even Reckoning Makes Long Friends,0
303,Every Ass Loves To Hear Himself Bray,0
304,Every Barber Knows That,0
305,Every Bean Has Its Black,0
306,Every Bird Likes Its Own Nest,0
307,Every Bullet Has Its Billet,0
308,Every Country Has Its Customs,0
309,Every Dark Cloud Has A Silver Lining,0
310,Every Day Is Not Sunday,0
311,Every Dog Has His Day,0
312,Every Dog Is A Lion At Home,0
313,Every Dog Is Valiant At His Own Door,0
314,Every Jack Has His Jill,0
315,Every Man Has A Fool In His Sleeve,0
316,Every Man Has His Faults,0
317,Every Man Has His Hobby-Horse,0
318,Every Man Is The Architect Of His Own Fortunes,0
319,Every Man To His Taste,0
320,Every Miller Draws Water To His Own Mill,0
321,Every Mother Thinks Her Own Gosling A Swan,0
322,Every One's Faults Are Not Written In Their Foreheads,0
323,Every Tub Must Stand On Its Own Bottom,0
324,"Every White Has Its Black, And Every Sweet Its Sour",0
325,Every Why Has A Wherefore,0
326,Everybody's Business Is Nobody's Business,0
327,Everything Comes To Him Who Waits,0
328,Everything Is Good In Its Season,0
329,Evil Communications Corrupt Good Manners,0
330,Experience Is The Mother Of Wisdom,0
331,"Experience Keeps A Dear School, But Fools Learn In No Other",0
332,"Experience Keeps No School, She Teaches Her Pupils Singly",0
333,Extremes Meet,0
334,Facts Are Stubborn Things,0
335,Faint Heart Never Won Fair Lady,0
336,"Fair Without, Foul (False) Within",0
337,Fair Words Break No Bones,0
338,False Friends Are Worse Than Open Enemies,0
339,Familiarity Breeds Contempt,0
340,"Far From Eye, Far From Heart",0
341,Fasting Comes After Feasting,0
342,Faults Are Thick Where Love Is Thin,0
343,Feast Today And Fast Tomorrow,0
344,Fine Feathers Make Fine Birds,0
345,Fine Words Butter No Parsnips,0
346,First Catch Your Hare,0
347,"First Come, First Served",0
348,First Deserve And Then Desire,0
349,"First Think, Then Speak",0
350,Fish And Company Stink In Three Days,0
351,Fish Begins To Stink At The Head,0
352,Follow The River And You'll Get To The Sea,0
353,Fool's Haste Is No Speed,0
354,Fools And Madmen Speak The Truth,0
355,Fools Grow Without Watering,0
356,Fools May Sometimes Speak To The Purpose,0
357,Fools Never Know When They Are Well,0
358,Fools Rush In Where Angels Fear To Tread,0
359,For The Love Of The Game,0
360,Forbearance Is No Acquittance,0
361,Forbidden Fruit Is Sweet,0
362,Forewarned Is Forearmed,0
363,Fortune Favours The Brave (The Bold),0
364,"Fortune Is Easily Found, But Hard To Be Kept",0
365,Four Eyes See More (Better) Than Two,0
366,Friends Are Thieves Of Time,0
367,From Bad To Worse,0
368,From Pillar To Post,0
369,Gentility Without Ability Is Worse Than Plain Beggary,0
370,"Get A Name To Rise Early, And You May Lie All Day",0
371,Gifts From Enemies Are Dangerous,0
372,"Give A Fool Rope Enough, And He Will Hang Himself",0
373,"Give Every Man Thy Ear, But Few Thy Voice",0
374,Give Him An Inch And He'll Take An Ell,0
375,Give Never The Wolf The Wether To Keep,0
376,Gluttony Kills More Men Than The Sword,0
377,Go To Bed With The Lamb And Rise With The Lark,0
378,Good Clothes Open All Doors,0
379,Good Counsel Does No Harm,0
380,Good Health Is Above Wealth,0
381,Good Masters Make Good Servants,0
382,Good Words And No Deeds,0
383,Good Words Without Deeds Are Rushes And Reeds,0
384,Gossiping And Lying Go Hand In Hand,0
385,"Grasp All, Lose All",0
386,Great Barkers Are No Biters,0
387,"Great Boast, Small Roast",0
388,Great Cry And Little Wool,0
389,Great Spenders Are Bad Lenders,0
390,Great Talkers Are Great Liars,0
391,Great Talkers Are Little Doers,0
392,Greedy Folk Have Long Arms,0
393,Habit Cures Habit,0
394,Half A Loaf Is Better Than No Bread,0
395,"""Hamlet"" Without The Prince Of Denmark ",0
396,Handsome Is That Handsome Does,0
397,Happiness Takes No Account Of Time,0
398,Happy Is He That Is Happy In His Children,0
399,Hard Words Break No Bones,0
400,Hares May Pull Dead Lions By The Beard,0
401,"Harm Watch, Harm Catch",0
402,Haste Makes Waste,0
403,Hasty Climbers Have Sudden Falls,0
404,Hate Not At The First Harm,0
405,"Hatred Is Blind, As Well As Love",0
406,Hawks Will Not Pick Hawks' Eyes,0
407,He Begins To Die That Quits His Desires,0
408,He Cannot Speak Well That Cannot Hold His Tongue,0
409,He Carries Fire In One Hand And Water In The Other,0
410,He Dances Well To Whom Fortune Pipes,0
411,He Gives Twice Who Gives In A Trice,0
412,He Goes Long Barefoot That Waits For Dead Man's Shoes,0
413,He Is A Fool That Forgets Himself,0
414,He Is A Good Friend That Speaks Well Of Us Behind Our Backs,0
415,He Is Happy That Thinks Himself So,0
416,He Is Lifeless That Is Faultless,0
417,He Is Not Fit To Command Others That Cannot Command Himself,0
418,He Is Not Laughed At That Laughs At Himself First,0
419,"He Is Not Poor That Has Little, But He That Desires Much",0
420,He Jests At Scars That Never Felt A Wound,0
421,He Knows Best What Good Is That Has Endured Evil,0
422,He Knows How Many Beans Make Five,0
423,He Knows Much Who Knows How To Hold His Tongue,0
424,He Laughs Best Who Laughs Last,0
425,He Lives Long That Lives Well,0
426,He Must Needs Swim That Is Held Up By The Chin,0
427,He Should Have A Long Spoon That Sups With The Devil,0
428,He Smells Best That Smells Of Nothing,0
429,He That Comes First To The Hill May Sit Where He Will,0
430,He That Commits A Fault Thinks Everyone Speaks Of It,0
431,He That Does You An I!I Turn Will Never Forgive You,0
432,He That Fears Every Bush Must Never Go A-Birding,0
433,He That Fears You Present Wiil Hate You Absent,0
434,"He That Goes A Borrowing, Goes A Sorrowing",0
435,He That Goes Barefoot Must Not Plant Thorns,0
436,He That Has A Full Purse Never Wanted A Friend,0
437,He That Has A Great Nose Thinks Everybody Is Speaking Of It,0
438,He That Has An Ill Name Is Half Hanged,0
439,He That Has No Children Knows Not What Love Is,0
440,He That Has He Head Needs No Hat,0
441,He That Has No Money Needs No Purse,0
442,He That Is Born To Be Hanged Shall Never Be Drowned,0
443,He That Is Full Of Himself Is Very Empty,0
444,He That Is Ill To Himself Will Be Good To Nobody,0
445,He That Is Warm Thinks All So,0
446,He That Knows Nothing Doubts Nothing,0
447,He That Lies Down With Dogs Must Rise Up With Fleas,0
448,He That Lives With Cripples Learns To Limp,0
449,"He That Mischief Hatches, Mischief Catches",0
450,He That Never Climbed Never Fell,0
451,He That Once Deceives Is Ever Suspected,0
452,He That Promises Too Much Means Nothing,0
453,He That Respects Not Is Not Respected,0
454,He That Seeks Trouble Never Misses,0
455,He That Serves Everybody Is Paid By Nobody,0
456,He That Serves God For Money Will Serve The Devil For Better Wages,0
457,He That Spares The Bad Injures The Good,0
458,He That Talks Much Errs Much,0
459,He That Talks Much Lies Much,0
460,He That Will Eat The Kernel Must Crack The Nut,0
461,"He That Will Not When He May, When He Will He Shall Have Nay",0
462,He That Will Steal An Egg Will Steal An Ox,0
463,"He That Will Thrive, Must Rise At Five",0
464,He That Would Eat The Fruit Must Climb The Tree,0
465,He That Would Have Eggs Must Endure The Cackling Of Hens,0
466,He Who Is Born A Fool Is Never Cured,0
467,He Who Hesitates Is Lost,0
468,He Who Likes Borrowing Dislikes Paying,0
469,"He Who Makes No Mistakes, Makes Nothing",0
470,He Who Pleased Everybody Died Before He Was Born,0
471,"He Who Says What He Likes, Shall Hear What He Doesn't Like",0
472,He Who Would Catch Fish Must Not Mind Getting Wet,0
473,He Who Would Eat The Nut Must First Crack The Shell,0
474,He Who Would Search For Pearls Must Dive Below,0
475,He Will Never Set The Thames On Fire,0
476,He Works Best Who Knows His Trade,0
477,Head Cook And Bottle-Washer,0
478,Health Is Not Valued Till Sickness Comes,0
479,His Money Burns A Hole In His Pocket,0
480,Honesty Is The Best Policy,0
481,Honey Is Not For The Ass's Mouth,0
482,"Honey Is Sweet, But The Bee Stings",0
483,Honour And Profit Lie Not In One Sack,0
484,Honours Change Manners,0
485,"Hope Is A Good Breakfast, But A Bad Supper",0
486,Hope Is The Poor Man's Bread,0
487,Hunger Breaks Stone Walls,0
488,Hunger Finds No Fault With Cookery,0
489,Hunger Is The Best Sauce,0
490,Hungry Bellies Have No Ears,0
491,Idle Folks Lack No Excuses,0
492,Idleness Is The Mother Of All Evil,0
493,Idleness Rusts The Mind,0
494,"If An Ass (Donkey) Bray At You, Don't Bray At Him",0
495,If Ifs And Ans Were Pots And Pans..,0
496,"If My Aunt Had Been A Man, She'd Have Been My Uncle",0
497,"If The Blind Lead The Blind, Both Shall Fall Into The Ditch",0
498,"If The Sky Falls, We Shall Catch Larks",0
499,"If There Were No Clouds, We Should Not Enjoy The Sun",0
500,If Things Were To Be Done Twice All Would Be Wise,0
501,"If We Can't As We Would, We Must Do As We Can",0
502,"If Wishes Were Horses, Beggars Might Ride",0
503,"If You Agree To Carry The Calf, They'll Make You Carry The Cow",0
504,"If You Cannot Bite, Never Show Your Teeth",0
505,"If You Cannot Have The Best, Make The Best Of What You Have",0
506,If You Dance You Must Pay The Fiddler,0
507,If You Laugh Before Breakfast You'll Cry Before Supper,0
508,"If You Run After Two Hares, You Will Catch Neither",0
509,"If You Sell The Cow, You Sell Her Milk Too",0
510,"If You Throw Mud Enough, Some Of It Will Stick",0
511,If You Try To Please All You Will Please None,0
512,"If You Want A Thing Well Done, Do It Yourself",0
513,Ill-Gotten Gains Never Prosper,0
514,"Ill-Gotten, Ill-Spent",0
515,In Every Beginning Think Of The End,0
516,"In For A Penny, In For A Pound",0
517,In The Country Of The Blind One-Eyed Man Is A King,0
518,In The End Things Will Mend,0
519,In The Evening One May Praise The Day,0
520,Iron Hand (Fist) In A Velvet Glove,0
521,It Is A Good Horse That Never Stumbles,0
522,It Is A Long Lane That Has No Turning,0
523,It Is A Poor Mouse That Has Only One Hole,0
524,It Is An Ill Bird That Fouls Its Own Nest,0
525,It Is An Ill Wind That Blows Nobody Good,0
526,"It Is A Silly Fish, That Is Caught Twice With The Same Bait",0
527,It Is Easy To Swim If Another Hoids Up Your Chin (Head),0
528,It Is Enough To Make A Cat Laugh,0
529,It Is Good Fishing In Troubled Waters,0
530,It Is Never Too Late To Learn,0
531,It Is No Use Crying Over Spilt Milk,0
532,It Is The First Step That Costs,0
533,It Never Rains But It Pours,0
534,It's As Broad As It's Long,0
535,It's No Use Pumping A Dry Well,0
536,It's One Thing To Flourish And Another To Fight,0
537,It Takes All Sorts To Make A World,0
538,Jackdaw In Peacock's Feathers,0
539,Jest With An Ass And He Will Flap You In The Face With His Tail,0
540,Judge Not Of Men And Things At First Sight,0
541,"Just As The Twig Is Bent, The Tree Is Inclined",0
542,Keep A Thing Seven Years And You Will Find A Use For It,0
543,Keep Your Mouth Shut And Your Ears Open,0
544,Keep Your Mouth Shut And Your Eyes Open,0
545,"Last, But Not Least",0
546,"Laws Catch Flies, But Let Hornets Go Free",0
547,Learn To Creep Before You Leap,0
548,Learn To Say Before You Sing,0
549,Learn Wisdom By The Follies Of Others,0
550,"Least Said, Soonest Mended",0
551,Leaves Without Figs,0
552,Let Bygones Be Bygones,0
553,Let Every Man Praise The Bridge He Goes Over,0
554,Let Sleeping Dogs Lie,0
555,Let Well (Enough) Alone,0
556,Liars Need Good Memories,0
557,Lies Have Short Legs,0
558,Life Is But A Span,0
559,Life Is Not A Bed Of Roses,0
560,Life Is Not All Cakes And Ale (Beer And Skittles),0
561,Like A Cat On Hot Bricks,0
562,Like A Needle In A Haystack,0
563,Like Begets Like,0
564,Like Cures Like,0
565,"Like Father, Like Son",0
566,Like Draws To Like,0
567,"Like Master, Like Man",0
568,"Like Mother, Like Daughter",0
569,"Like Parents, Like Children",0
570,"Like Priest, Like People",0
571,"Like Teacher, Like Pupil",0
572,Little Chips Light Great Fires,0
573,Little Knowledge Is A Dangerous Thing,0
574,Little Pigeons Can Carry Great Messages,0
575,Little Pitchers Have Long Ears,0
576,Little Strokes Fell Great Oaks,0
577,"Little Thieves Are Hanged, But Great Ones Escape",0
578,Little Things Amuse Little Minds,0
579,Live And Learn,0
580,Live And Let Live,0
581,"Live Not To Eat, But Eat To Live",0
582,"Long Absent, Soon Forgotten",0
583,Look Before You Leap,0
584,"Look Before You Leap, But Having Leapt Never Look Back",0
585,Lookers-On See More Than Players,0
586,"Lord (God, Heaven) Helps Those (Them) Who Help Themselves",0
587,Lost Time Is Never Found Again,0
588,Love Cannot Be Forced,0
589,Love In A Cottage,0
590,"Love Me, Love My Dog",0
591,Love Will Creep Where It May Not Go,0
592,Make Haste Slowly,0
593,Make Hay While The Sun Shines,0
594,Make Or Mar,0
595,Man Proposes But God Disposes,0
596,Many A Fine Dish Has Nothing On It,0
597,Many A Good Cow Has A Bad Calf,0
598,Many A Good Father Has But A Bad Son,0
599,Many A Little Makes A Mickle,0
600,Many A True Word Is Spoken In Jest,0
601,Many Hands Make Light Work,0
602,"Many Men, Many Minds",0
603,Many Words Hurt More Than Swords,0
604,Many Words Will Not Fill A Bushel,0
605,Marriages Are Made In Heaven,0
606,Measure For Measure,0
607,Measure Thrice And Cut Once,0
608,Men May Meet But Mountains Never,0
609,Mend Or End (End Or Mend),0
610,Might Goes Before Right,0
611,Misfortunes Never Come Alone (Singly),0
612,Misfortunes Tell Us What Fortune Is,0
613,Money Begets Money,0
614,Money Has No Smell,0
615,Money Is A Good Servant But A Bad Master,0
616,Money Often Unmakes The Men Who Make It,0
617,Money Spent On The Brain Is Never Spent In Vain,0
618,"More Haste, Less Speed",0
619,Much Ado About Nothing,0
620,Much Will Have More,0
621,Muck And Money Go Together,0
622,Murder Will Out,0
623,My House Is My Castle,0
624,Name Not A Rope In His House That Was Hanged,0
625,Necessity Is The Mother Of Invention,0
626,Necessity Knows No Law,0
627,Neck Or Nothing,0
628,Need Makes The Old Wife Trot,0
629,Needs Must When The Devil Drives,0
630,Neither Fish Nor Flesh,0
631,Neither Here Nor There,0
632,Neither Rhyme Nor Reason,0
633,Never Cackle Till Your Egg Is Laid,0
634,Never Cast Dirt Into That Fountain Of Which You Have Sometime Drunk,0
635,Never Do Things By Halves,0
636,Never Fry A Fish Till It's Caught,0
637,Never Offer To Teach Fish To Swim,0
638,Never Put Off Till Tomorrow What You Can Do Today,0
639,Never Quit Certainty For Hope,0
640,Never Too Much Of A Good Thing,0
641,Never Try To Prove What Nobody Doubts,0
642,Never Write What You Dare Not Sign,0
643,New Brooms Sweep Clean,0
644,"New Lords, New Laws",0
645,Nightingales Will Not Sing In A Cage,0
646,No Flying From Fate,0
647,No Garden Without Its Weeds,0
648,No Great Loss Without Some Small Gain,0
649,No Herb Will Cure Love,0
650,No Joy Without Alloy,0
651,No Living Man All Things Can,0
652,"No Longer Pipe, No Longer Dance",0
653,No Man Is Wise At All Times,0
654,"No Man Loves His Fetters, Be They Made Of Gold",0
655,No News (Is) Good News,0
656,"No Pains, No Gains",0
657,"No Song, No Supper",0
658,No Sweet Without (Some) Sweat,0
659,No Wisdom Like Silence,0
660,None But The Brave Deserve The Fair,0
661,None So Blind As Those Who Won't See,0
662,None So Deaf As Those That Won't Hear,0
